KFIGIV,0
KJMVXE,0
KSENS,0
KZRODN,0
NBANK,0
NCRODB,0
NCRSTEP,0
NZOVLAP,0
NZON,0
KXEDYN,0
NORPB,0
BETA,1
BURNUP,1
CCRODN,1
CDEC,1
CGRDC,1
CMANRDC,1
CSPRDC,1
CUAVGS,1
CURDC,1
CNEUICB,1
CNEUICR,1
CNEUICU,1
CRODBNK,1
DECYA,1
DECYT,1
FLAMB,1
FISRMX,1
QINIT,1
QSRMAX,1
QTHERMN,1
SFI100,1
SOURCET,1
TCDPM,1
TCRDC,1
TCSRDV,1
XPIRMN,1
ZCORE,1
ZREFL,1
CBORONN,1
UCOOLN,1
UFUELN,1
VOIDN,1
CNEU,1
CORR,1
CCROD,1
CXEN,1
DEC100,1
QPROMPN,1
SUMBET,1
KZROD1,0
KZROD2,0
KZROD3,0
KZROD4,0
KZROD5,0
KZROD6,0
KZROD7,0
KZROD8,0
KZROD9,0
KZROD10,0
KZROD11,0
KZROD12,0
KZROD13,0
KZROD14,0
KZROD15,0
KZROD16,0
KZROD17,0
KZROD18,0
KZROD19,0
KZROD20,0
KZROD21,0
KZROD22,0
KZROD23,0
KZROD24,0
KZROD25,0
KZROD26,0
KZROD27,0
KZROD28,0
KZROD29,0
KZROD30,0
KZROD31,0
KZROD32,0
KZROD33,0
KZROD34,0
KZROD35,0
KZROD36,0
KZROD37,0
KZROD38,0
KZROD39,0
KZROD40,0
KZROD41,0
KZROD42,0
KZROD43,0
KZROD44,0
KZROD45,0
KZROD46,0
KZROD47,0
KZROD48,0
KZROD49,0
KZROD50,0
KZROD51,0
KZROD52,0
KSRNC,0
KCRMOD,0
KBNKSEL,0
KRODSEL,0
KZBANK1,0
KZBANK2,0
KZBANK3,0
KZBANK4,0
KZBANK5,0
KZBANK6,0
KZBANK7,0
KZBANK8,0
KMOVBNK,0
KRDSELM,0
CBORON,1
UCOOL,1
UFUEL1,1
UFUEL2,1
UFUEL3,1
UFUEL4,1
UFUEL5,1
UFUEL5,1
UFUEL6,1
UFUEL7,1
UFUEL9,1
UFUEL10,1
UFUEL11,1
UFUEL12,1
UFUEL13,1
UFUEL14,1
UFUEL15,1
UFUEL16,1
UFUEL17,1
UFUEL18,1
UFUEL19,1
UFUEL20,1
UFUEL21,1
UFUEL22,1
UFUEL23,1
UFUEL24,1
UFUEL25,1
VOID,1
QTHNOR,1
CIOD,1
CRETIV,1
CXENON,1
DECH,1
DENEUO,1
DNEUTR,1
DECH1,1
QPRONOR,1
QPROREL,1
QPROLD,1
SIGMAA,1
FPULSRM,1
FSRMDPM,1
XPIRM,1
XPSRM,1
CIODMPC,1
CXEMPCM,1
CXENOR,1
UFUELM,1
ZBANK,1
CAUTRDC,1
CVRDC,1
TCIRCD,1
TRDSEL,1
UAVLEGS,1
TRBUNC,1
CAXOFF,1
ZREAC,1
CSURDPM,1
DNBMRG,1
CPORV,1
CPSAFE,1
CW101,1
CW102,1
CZSGLS,1
CWFWCE,1
CPWRGA,1
CFWRK,1
CFWRT,1
CWSEAL,1
UAVLMN,1
CPSPAN,1
KOILP1,0
KOILP2,0
KOILP3,0
KRCP1,0
KRCP2,0
KRCP3,0
KCHV108,0
KOILTM,0
KOHV108,0
KCHV108,0
UAVLEGM,1
BV101,1
BV201,1
BV301,1
BV102,1
BV202,1
BV302,1
BFWBYP,1
BFWMAI,1
BFWBYI,1
ZSGLER,1
ZSGLEI,1
ZSGLS,1
ZSGNOR1,1
ZSGNOR2,1
ZSGNOR3,1
BHV39,1
WHV311A,1
WHV311B,1
PSG1,1
PSG2,1
PSG3,1
UCOLEG1,1
UCOLEG2,1
UCOLEG3,1
UHOLEG1,1
UHOLEG2,1
UHOLEG3,1
PACCTK,1
UAVLEG1,1
UAVLEG2,1
UAVLEG3,1
UDHOCO1,1
UDHOCO2,1
UDHOCO3,1
UUPPPL,1
WSGRCP1,1
WSGRCP2,1
WSGRCP3,1
ZSGW1,1
ZSGW2,1
ZSGW3,1
USUBMA,1
WSPRCS1,1
WSPRCS2,1
CBACCT,1
UCOLEGM,1
UHOLEGM,1
WSURGE,1
ZSGN1,1
ZSGN2,1
ZSGN3,1
WSTMFWE,1
ZSGIN1,1
ZSGIN2,1
ZSGIN3,1
ZSGIW,1
WACCA,1
WACCB,1
PSGWM,1
PTINWM,1
WMLOCA,1
CTPRZH,1
CTPRZS,1
CPPRZ,1
